12,9.7108,0.323
16,9.7108,0.324
15,9.7108,0.325
16,9.7108,0.327
14,9.7108,0.328
19,9.7108,0.329
19,10.476,0.331
14,9.7108,0.332
15,9.7108,0.333
15,9.7108,0.335
16,10.476,0.336
15,9.7108,0.337
15,9.7108,0.339
16,8.9454,0.34
15,9.7108,0.341
15,9.7108,0.343
13,10.476,0.344
15,9.7108,0.345
16,9.7108,0.347
16,9.7108,0.348
15,8.9454,0.349
16,9.7108,0.351
16,9.7108,0.352
16,9.7108,0.353
15,9.7108,0.355
16,9.7108,0.356
15,8.9454,0.357
15,9.7108,0.359
16,9.7108,0.36
15,8.9454,0.361
15,9.7108,0.364
15,9.7108,0.365
15,9.7108,0.366
11,9.7108,0.367
18,9.7108,0.369
15,10.476,0.37
16,9.7108,0.371
15,9.7108,0.373
16,9.7108,0.374
17,9.7108,0.375
15,9.7108,0.377
13,9.7108,0.378
17,9.7108,0.379
15,9.7108,0.381
15,9.7108,0.382
14,9.7108,0.383
11,9.7108,0.385
14,9.7108,0.386
15,9.7108,0.387
16,9.7108,0.389
16,9.7108,0.39
16,9.7108,0.391
20,9.7108,0.393
15,9.7108,0.394
15,9.7108,0.395
15,9.7108,0.397
15,9.7108,0.398
15,9.7108,0.399
14,9.7108,0.401
14,10.476,0.402
15,9.7108,0.403
12,9.7108,0.406
16,10.476,0.407
15,9.7108,0.408
15,9.7108,0.41
14,9.7108,0.411
15,9.7108,0.412
14,9.7108,0.414
12,9.7108,0.415
16,10.476,0.416
15,9.7108,0.418
16,9.7108,0.419
13,9.7108,0.42
15,10.476,0.422
15,10.476,0.423
16,9.7108,0.424
16,9.7108,0.426
18,9.7108,0.427
16,9.7108,0.428
16,10.476,0.43
16,9.7108,0.431
15,9.7108,0.432
15,9.7108,0.434
15,9.7108,0.435
15,10.476,0.436
15,9.7108,0.438
15,9.7108,0.439
16,9.7108,0.44
15,9.7108,0.442
15,10.476,0.443
16,9.7108,0.444
15,9.7108,0.446
15,9.7108,0.447
13,10.476,0.449
15,9.7108,0.451
15,10.476,0.452
15,9.7108,0.453
13,10.476,0.454
15,10.476,0.456
16,9.7108,0.457
15,9.7108,0.458
20,9.7108,0.46
16,9.7108,0.461
15,9.7108,0.462
15,9.7108,0.464
16,9.7108,0.465
15,10.476,0.466
15,9.7108,0.468
16,10.476,0.469
15,9.7108,0.47
15,9.7108,0.472
15,9.7108,0.473
16,9.7108,0.474
14,9.7108,0.476
16,10.476,0.477
15,9.7108,0.478
15,9.7108,0.48
15,9.7108,0.481
15,9.7108,0.482
14,9.7108,0.484
16,10.476,0.485
15,9.7108,0.486
14,9.7108,0.488
15,9.7108,0.489
15,9.7108,0.491
15,10.476,0.493
15,10.476,0.494
15,9.7108,0.495
15,9.7108,0.497
15,10.476,0.498
15,9.7108,0.499
14,9.7108,0.501
17,10.476,0.502
15,10.476,0.503
15,9.7108,0.505
15,10.476,0.506
16,9.7108,0.507
16,9.7108,0.509
16,9.7108,0.51
15,10.476,0.511
14,10.476,0.513
16,10.476,0.514
15,9.7108,0.515
15,10.476,0.517
16,10.476,0.518
15,10.476,0.519
15,10.476,0.521
15,9.7108,0.522
15,10.476,0.523
15,9.7108,0.525
15,9.7108,0.526
16,9.7108,0.527
16,10.476,0.529
15,10.476,0.53
15,10.476,0.531
15,9.7108,0.534
15,10.476,0.535
15,11.242,0.536
12,9.7108,0.538
14,9.7108,0.539
15,10.476,0.54
15,9.7108,0.541
15,9.7108,0.543
16,9.7108,0.544
15,10.476,0.545
15,10.476,0.547
15,9.7108,0.548
14,9.7108,0.549
16,9.7108,0.551
15,10.476,0.552
15,10.476,0.553
14,9.7108,0.555
16,10.476,0.556
15,9.7108,0.557
13,10.476,0.559
15,10.476,0.56
13,10.476,0.561
13,9.7108,0.563
15,10.476,0.564
15,9.7108,0.565
12,9.7108,0.567
15,9.7108,0.568
16,10.476,0.569
20,10.476,0.571
15,10.476,0.572
15,9.7108,0.573
15,9.7108,0.575
15,9.7108,0.577
15,9.7108,0.578
14,9.7108,0.58
14,10.476,0.581
16,9.7108,0.582
15,10.476,0.584
16,10.476,0.585
15,10.476,0.586
15,10.476,0.588
20,9.7108,0.589
15,9.7108,0.59
16,10.476,0.592
16,9.7108,0.593
15,10.476,0.594
16,10.476,0.596
21,10.476,0.597
15,10.476,0.598
15,10.476,0.6
15,9.7108,0.601
15,9.7108,0.602
16,9.7108,0.604
16,9.7108,0.605
14,10.476,0.606
15,9.7108,0.608
15,10.476,0.609
16,9.7108,0.61
15,9.7108,0.612
15,9.7108,0.613
15,10.476,0.614
15,8.9454,0.616
15,10.476,0.617
15,9.7108,0.619
15,8.9454,0.621
15,9.7108,0.622
19,10.476,0.623
13,10.476,0.625
16,10.476,0.626
16,10.476,0.627
13,10.476,0.628
16,9.7108,0.63
14,9.7108,0.631
16,10.476,0.632
16,10.476,0.634
20,9.7108,0.635
18,9.7108,0.636
15,10.476,0.638
15,9.7108,0.639
14,9.7108,0.64
15,10.476,0.642
15,10.476,0.643
13,9.7108,0.644
15,10.476,0.646
15,9.7108,0.647
15,9.7108,0.648
15,10.476,0.65
15,10.476,0.651
15,10.476,0.652
