=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 60.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
663, 139.42, 180.75
664, 139.37, 180.71
665, 139.39, 180.69
666, 139.48, 180.65
667, 139.68, 180.55
668, 139.96, 180.32
669, 140.33, 179.97
670, 140.65, 179.51
671, 140.88, 179.06
672, 141.04, 178.65
673, 141.18, 178.28
674, 141.30, 177.93
675, 141.38, 177.58
676, 141.41, 177.19
677, 141.42, 176.78
678, 141.40, 176.45
679, 141.33, 176.25
680, 141.23, 176.20
681, 141.09, 176.21
682, 140.97, 176.23
683, 140.87, 176.26
684, 140.86, 176.31
685, 140.94, 176.40
686, 141.10, 176.54
687, 141.32, 176.72
688, 141.56, 176.86
689, 141.89, 176.93
690, 142.30, 176.91
691, 142.78, 176.81
692, 143.24, 176.64
693, 143.63, 176.49
694, 143.87, 176.38
695, 143.96, 176.34
696, 143.92, 176.34
697, 143.82, 176.38
698, 143.69, 176.47
699, 143.54, 176.60
700, 143.36, 176.77
701, 143.11, 176.95
702, 142.79, 177.13
703, 142.42, 177.33
704, 142.04, 177.55
705, 141.65, 177.73
706, 141.22, 177.84
707, 140.73, 177.87
708, 140.18, 177.77
709, 139.69, 177.53
710, 139.27, 177.18
711, 139.02, 176.76
712, 138.93, 176.40
713, 138.97, 176.14
714, 139.11, 176.01
715, 139.31, 176.10
716, 139.59, 176.41
717, 139.94, 176.85
718, 140.36, 177.31
719, 140.70, 177.72
720, 140.95, 178.00
721, 141.10, 178.13
722, 141.19, 178.11
723, 141.24, 177.98
724, 141.29, 177.78
725, 141.35, 177.60
726, 141.40, 177.47
727, 141.42, 177.41
728, 141.31, 177.39
729, 141.06, 177.42
730, 140.66, 177.38
731, 140.35, 177.27
732, 140.19, 177.10
733, 140.23, 176.91
734, 140.41, 176.73
735, 140.67, 176.58
736, 140.87, 176.49
737, 140.97, 176.43
738, 140.90, 176.38
739, 140.71, 176.45
740, 140.44, 176.68
741, 140.08, 177.07
742, 139.69, 177.45
743, 139.27, 177.75
744, 138.85, 177.91
745, 138.46, 177.98
746, 138.13, 177.97
747, 137.88, 177.95
748, 137.80, 177.91
749, 137.87, 177.95
750, 138.08, 178.06
751, 138.42, 178.24
752, 138.83, 178.35
753, 139.21, 178.36
754, 139.50, 178.35
755, 139.68, 178.37
756, 139.88, 178.47
757, 140.13, 178.58
758, 140.43, 178.64
759, 140.74, 178.71
760, 140.97, 178.80
761, 141.11, 178.92
762, 141.14, 179.02
763, 141.16, 179.05
764, 141.19, 179.10
765, 141.26, 179.20
766, 141.34, 179.28
767, 141.44, 179.31
768, 141.45, 179.26
769, 141.37, 179.32
770, 141.27, 179.53
771, 141.20, 179.79
772, 141.19, 179.99
773, 141.17, 180.08
774, 141.13, 180.19
775, 141.09, 180.36
776, 141.08, 180.49
777, 141.13, 180.52
778, 141.15, 180.40
779, 141.13, 180.24
780, 141.09, 180.09
781, 141.04, 179.93
782, 141.00, 179.74
783, 140.97, 179.51
784, 140.96, 179.30
785, 140.97, 179.12
786, 141.03, 178.96
787, 141.09, 178.81
788, 141.14, 178.69
789, 141.17, 178.61
790, 141.16, 178.57
791, 141.10, 178.68
792, 141.05, 178.93
793, 141.04, 179.24
794, 141.09, 179.54
795, 141.14, 179.78
796, 141.18, 179.95
797, 141.23, 180.08
798, 141.29, 180.16
799, 141.37, 180.21
800, 141.46, 180.24
801, 141.55, 180.27
802, 141.54, 180.32
803, 141.39, 180.41
804, 141.10, 180.55
805, 140.84, 180.73
806, 140.67, 180.86
807, 140.67, 180.94
808, 140.83, 180.86
809, 141.10, 180.64
810, 141.35, 180.29
811, 141.55, 180.06
812, 141.69, 179.99
813, 141.81, 180.11
814, 141.90, 180.30
815, 141.97, 180.49
816, 142.04, 180.66
817, 142.14, 180.82
818, 142.17, 180.98
819, 142.11, 181.20
820, 141.96, 181.48
821, 141.83, 181.81
822, 141.76, 181.97
823, 141.75, 181.91
824, 141.77, 181.61
825, 141.80, 181.15
826, 141.83, 180.60
827, 141.86, 180.14
828, 141.94, 179.80
829, 142.08, 179.63
830, 142.28, 179.59
831, 142.46, 179.63
832, 142.59, 179.73
833, 142.62, 179.87
834, 142.57, 179.98
835, 142.45, 180.03
836, 142.31, 180.00
837, 142.19, 179.91
838, 142.04, 179.75
839, 141.85, 179.58
840, 141.62, 179.41
841, 141.45, 179.24
842, 141.38, 179.07
843, 141.30, 178.90
844, 141.18, 178.81
845, 141.06, 178.82
846, 140.99, 178.89
847, 140.99, 178.98
848, 140.94, 179.03
849, 140.80, 179.10
850, 140.60, 179.18
851, 140.41, 179.26
852, 140.25, 179.31
853, 140.15, 179.33
854, 140.12, 179.32
855, 140.06, 179.30
856, 139.95, 179.30
857, 139.76, 179.32
858, 139.54, 179.37
859, 139.31, 179.44
860, 139.12, 179.52
861, 139.01, 179.68
862, 138.99, 179.93
863, 139.03, 180.27
864, 139.11, 180.65
865, 139.26, 181.05
866, 139.49, 181.38
867, 139.79, 181.61
868, 140.14, 181.82
869, 140.52, 182.05
870, 140.87, 182.31
871, 141.15, 182.45
872, 141.34, 182.43
873, 141.40, 182.32
874, 141.34, 182.18
875, 141.20, 182.07
876, 141.02, 182.02
877, 140.85, 182.02
878, 140.68, 182.13
879, 140.52, 182.33
880, 140.36, 182.62
881, 140.18, 182.81
882, 140.08, 182.86
883, 140.07, 182.85
884, 140.16, 182.85
885, 140.25, 182.91
886, 140.28, 182.96
887, 140.24, 182.97
888, 140.14, 182.95
889, 140.01, 182.93
890, 139.94, 182.84
891, 139.97, 182.66
892, 140.04, 182.39
893, 140.12, 182.11
894, 140.16, 181.83
895, 140.16, 181.59
896, 140.11, 181.40
897, 140.01, 181.24
898, 139.89, 181.17
899, 139.76, 181.19
900, 139.60, 181.27
901, 139.42, 181.38
902, 139.29, 181.50
903, 139.26, 181.57
904, 139.35, 181.61
905, 139.54, 181.61
906, 139.81, 181.57
907, 140.06, 181.51
908, 140.26, 181.45
909, 140.36, 181.37
910, 140.37, 181.41
911, 140.30, 181.58
912, 140.22, 181.87
913, 140.13, 182.25
914, 140.09, 182.66
915, 140.09, 182.97
916, 140.15, 183.13
917, 140.20, 183.21
918, 140.24, 183.27
919, 140.21, 183.35
920, 140.09, 183.47
921, 139.90, 183.62
922, 139.71, 183.74
923, 139.57, 183.82
924, 139.50, 183.83
925, 139.47, 183.84
926, 139.48, 183.89
927, 139.49, 184.03
928, 139.48, 184.27
929, 139.42, 184.58
930, 139.32, 184.82
931, 139.15, 184.94
932, 138.93, 184.92
933, 138.67, 184.81
934, 138.51, 184.63
935, 138.48, 184.56
936, 138.48, 184.62
937, 138.46, 184.76
938, 138.36, 184.92
939, 138.30, 185.03
940, 138.31, 185.13
941, 138.41, 185.24
942, 138.56, 185.27
943, 138.75, 185.22
944, 138.84, 185.03
945, 138.80, 184.75
946, 138.71, 184.41
947, 138.61, 184.10
948, 138.57, 183.84
949, 138.54, 183.57
950, 138.50, 183.24
951, 138.52, 182.83
952, 138.64, 182.45
953, 138.84, 182.13
954, 139.07, 181.96
955, 139.30, 181.91
956, 139.55, 182.00
957, 139.82, 182.14
958, 140.14, 182.29
959, 140.43, 182.47
960, 140.68, 182.66
961, 140.89, 182.86
962, 141.09, 182.99
963, 141.31, 183.01
964, 141.53, 182.86
965, 141.77, 182.58
966, 141.95, 182.19
967, 142.05, 181.83
968, 142.04, 181.54
969, 141.94, 181.45
970, 141.76, 181.53
971, 141.57, 181.69
972, 141.39, 181.86
973, 141.25, 181.99
974, 141.13, 182.08
975, 141.04, 182.14
976, 140.93, 182.12
977, 140.77, 182.02
978, 140.56, 181.84
979, 140.33, 181.72
980, 140.10, 181.71
981, 139.96, 181.77
982, 139.93, 181.85
983, 139.92, 181.92
984, 139.86, 182.05
985, 139.71, 182.25
986, 139.50, 182.41
987, 139.22, 182.46
988, 138.97, 182.37
989, 138.76, 182.20
990, 138.63, 182.00
991, 138.56, 181.81
992, 138.53, 181.64
993, 138.57, 181.48
994, 138.65, 181.34
995, 138.78, 181.23
996, 138.94, 181.24
997, 139.11, 181.40
998, 139.30, 181.68
999, 139.51, 182.01
1000, 139.74, 182.35
1001, 139.97, 182.62
1002, 140.18, 182.80
1003, 140.38, 182.65
1004, 140.54, 182.15
1005, 140.53, 181.30
1006, 140.30, 180.30
1007, 139.86, 179.24
1008, 139.21, 178.06
1009, 138.41, 176.78
1010, 137.32, 175.41
1011, 135.99, 173.84
1012, 134.47, 172.11
1013, 132.87, 170.30
1014, 131.29, 168.56
1015, 129.77, 166.99
1016, 128.35, 165.33
1017, 126.78, 163.55
1018, 125.03, 161.44
1019, 123.11, 159.13
1020, 121.23, 156.78
1021, 119.49, 154.57
1022, 118.12, 152.61
1023, 117.13, 150.97
1024, 116.54, 149.65
1025, 116.26, 148.69
1026, 116.21, 148.05
1027, 116.24, 147.72
1028, 116.29, 147.63
1029, 116.31, 147.73
1030, 116.31, 148.01
1031, 116.29, 148.40
1032, 116.18, 148.87
1033, 115.98, 149.26
1034, 115.67, 149.51
1035, 115.42, 149.69
1036, 115.28, 149.85
1037, 115.19, 150.02
1038, 115.11, 150.17
1039, 114.99, 150.27
1040, 114.85, 150.41
1041, 114.71, 150.61
1042, 114.63, 150.87
1043, 114.61, 151.17
1044, 114.68, 151.48
1045, 114.85, 151.62
1046, 115.11, 151.55
1047, 115.37, 151.44
1048, 115.57, 151.41
1049, 115.65, 151.53
1050, 115.64, 151.55
1051, 115.54, 151.42
1052, 115.33, 151.20
1053, 115.04, 150.98
1054, 114.67, 150.83
1055, 114.27, 150.62
1056, 113.86, 150.34
1057, 113.51, 149.99
1058, 113.22, 149.62
1059, 113.03, 149.28
1060, 112.94, 148.81
1061, 112.93, 148.20
1062, 112.95, 147.57
1063, 112.99, 147.04
1064, 112.96, 146.66
1065, 112.86, 146.38
1066, 112.69, 146.18
1067, 112.67, 145.85
1068, 112.85, 145.34
1069, 113.14, 144.65
1070, 113.44, 143.86
1071, 113.68, 143.04
1072, 113.85, 142.26
1073, 113.93, 141.53
1074, 113.88, 140.89
1075, 113.72, 140.34
1076, 113.46, 139.88
1077, 113.18, 139.46
1078, 112.90, 139.06
1079, 112.71, 138.61
1080, 112.62, 138.14
1081, 112.63, 137.63
1082, 112.71, 137.36
1083, 112.84, 137.35
1084, 112.99, 137.60
1085, 113.15, 137.98
1086, 113.28, 138.41
1087, 113.37, 138.77
1088, 113.41, 139.02
