MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
4,5,88637,205,0,49.45,0.17,9.33,0.733,0.16807780320365914,0.00019692432579267028,0.04400000000000004,0.00447555285892432,0.06019354838709678,0.02932551319648089,0.0,0.10126601087699313
4,5,88658,205,0,49.67,0.17,9.43,0.754,0.1702484472049667,0.00019327749749992052,0.04400000000000004,0.004392670397725462,0.060838709677419354,0.029325513196480735,0.0,0.1121132871704939
4,5,88681,205,0,49.89,0.17,9.53,0.777,0.17301078783916088,0.00018884984407805484,0.04400000000000004,0.004292041910864879,0.06148387096774193,0.027859237536656697,0.0,0.10208327141965526
4,5,88702,205,0,50.11,0.17,9.62,0.798,0.17474011114743154,0.0001835002666131711,0.04599999999999993,0.003989136230721117,0.06206451612903225,0.026647966339411272,0.217391304347826,0.08769560953423175
4,5,88727,205,0,50.33,0.18,9.72,0.823,0.17704478587773553,0.00017722490907897813,0.04699999999999993,0.0037707427463612424,0.06270967741935485,0.013726835964310607,0.21276595744680843,0.09494133112614879
4,5,88749,205,0,50.66,0.18,9.72,0.845,0.17920235371036053,0.00017012950499337086,0.04400000000000004,0.0038665796589402433,0.06270967741935485,0.014662756598240368,0.0,0.11151891586674015
4,5,88771,205,0,50.77,0.18,9.82,0.867,0.1819516181758721,0.00016239864303795848,0.04400000000000004,0.0036908782508626894,0.06335483870967742,0.029325513196480735,0.0,0.12273767422508693
4,5,88793,205,0,50.88,0.18,9.92,0.889,0.18460281137626436,0.00015426529216576234,0.04300000000000004,0.0035875649340874932,0.064,0.03000750187546866,0.23255813953488372,0.1179896150892887
4,5,88814,205,0,51.1,0.19,10.02,0.91,0.18702517162471152,0.0001459827929102815,0.04400000000000004,0.0033177907479609403,0.06464516129032258,0.014662756598240368,0.22727272727272727,0.08922999197598613
4,5,88837,205,0,51.32,0.19,10.02,0.933,0.18852893102320775,0.00013780060710087482,0.04399999999999993,0.003131831979565342,0.06464516129032258,0.014662756598240404,0.0,0.09747689381556567
4,5,88858,205,0,51.43,0.19,10.12,0.954,0.1913141549525964,0.0001299447461989267,0.04399999999999993,0.002953289686339248,0.06529032258064515,0.014662756598240404,0.22727272727272785,0.12028589259710402
4,5,88881,205,0,51.54,0.2,10.12,0.977,0.19382151029748032,0.0001226036227560474,0.04400000000000004,0.0027864459717283478,0.06529032258064515,0.014662756598240683,0.0,0.09272192338553793
4,5,88902,205,0,51.76,0.19,10.22,0.998,0.19539391958156008,0.00011591957183651935,0.041999999999999926,0.002759989805631418,0.06593548387096775,0.03072196620583737,0.0,0.07098491570541188
4,5,88923,205,0,51.87,0.2,10.32,1.019,0.19680287675710761,0.00010998548018443621,0.04200000000000004,0.0026187019091532407,0.06658064516129032,0.015360983102918481,0.23809523809523808,0.060088108469931865
4,5,88944,205,0,52.09,0.2,10.32,1.04,0.19791762013729722,0.00010484534270869084,0.04400000000000004,0.00238284869792479,0.06658064516129032,0.014662756598240368,0.0,0.06151742993848143
4,5,88967,205,0,52.2,0.2,10.42,1.063,0.1995096436744008,0.00010049752809355894,0.04400000000000004,0.002284034729399065,0.0672258064516129,0.014662756598240368,0.0,0.06827840351867727
4,5,88988,205,0,52.31,0.2,10.42,1.084,0.20092186989211902,9.689994874827513e-05,0.04300000000000015,0.002253487180192437,0.0672258064516129,0.015003750937734291,0.0,0.05922288025422485
4,5,89010,205,0,52.42,0.2,10.52,1.106,0.20205622752533248,9.397675996009092e-05,0.04399999999999982,0.002135835453638439,0.06787096774193548,0.014662756598240442,0.0,0.043017623109155356
4,5,89032,205,0,52.54,0.2,10.52,1.128,0.20281464530892185,9.162640350580275e-05,0.04399999999999982,0.0020824182614955257,0.06787096774193548,0.0,0.2272727272727278,0.044206365716662234
4,5,89054,205,0,52.65,0.21,10.52,1.15,0.2040013076168656,8.973076321989204e-05,0.04400000000000004,0.002039335527724817,0.06787096774193548,0.014662756598240683,0.0,0.04948141103747442
4,5,89076,205,0,52.76,0.2,10.62,1.172,0.20499182739457072,8.816490149536449e-05,0.04400000000000004,0.002003747761258282,0.06851612903225807,0.02932551319648105,-0.22727272727272665,0.039079913221789137
4,5,89098,205,0,52.87,0.2,10.72,1.194,0.20572082379862433,8.680633172235375e-05,0.04400000000000004,0.001972871175508038,0.06916129032258064,0.014662756598240368,0.22727272727272665,0.046212368866831
4,5,89120,205,0,52.98,0.21,10.72,1.216,0.2070251716247113,8.554245210728873e-05,0.04600000000000004,0.0018596185240714925,0.06916129032258064,0.012622720897615923,0.21739130434782547,0.03674119135267236
4,5,89144,205,0,53.09,0.21,10.81,1.24,0.20741091860084726,8.42751369866086e-05,0.04600000000000004,0.0018320681953610549,0.06974193548387098,0.012622720897615923,0.0,0.01499495430447486
4,5,89166,205,0,53.2,0.21,10.81,1.262,0.20771493952271713,8.292249603561963e-05,0.04400000000000004,0.0018846021826277172,0.06974193548387098,0.0,0.0,0.018276917590417923
4,5,89188,205,0,53.31,0.21,10.81,1.284,0.20821510297482565,8.141879527670603e-05,0.04400000000000004,0.0018504271653796808,0.06974193548387098,0.014662756598240368,0.0,0.02570655888733698
4,5,89210,205,0,53.42,0.21,10.91,1.306,0.20884602811375996,7.97138872731935e-05,0.04400000000000004,0.0018116792562089417,0.07038709677419355,0.014662756598240368,0.0,0.030164343665487908
4,5,89232,205,0,53.42,0.21,10.91,1.328,0.20954233409610712,7.777317859826027e-05,0.04400000000000004,0.00176757224086955,0.07038709677419355,0.0,0.0,0.03165027192487071
4,5,89254,205,0,53.53,0.21,10.91,1.35,0.21023864007845428,7.557853876630638e-05,0.04400000000000004,0.001717694062870598,0.07038709677419355,0.014662756598240368,0.0,0.030164343665486648
4,5,89276,205,0,53.53,0.21,11.01,1.372,0.21086956521738853,7.312995776249487e-05,0.04399999999999982,0.001662044494602163,0.07103225806451613,0.014662756598240442,0.0,0.04621236886682997
4,5,89298,205,0,53.64,0.21,11.01,1.394,0.21227198430859479,7.044727027505892e-05,0.04399999999999982,0.001601074324433164,0.07103225806451613,0.014662756598240442,0.0,0.047326815061368654
4,5,89320,205,0,53.75,0.21,11.11,1.416,0.21295194508008874,6.757095411730774e-05,0.04700000000000015,0.0014376798748363302,0.0716774193548387,0.013726835964310099,0.0,0.024065714703038817
4,5,89345,205,0,53.86,0.21,11.11,1.441,0.2134030728996376,6.456108810839823e-05,0.04700000000000015,0.0013736401725191068,0.0716774193548387,0.0,0.0,0.03213398899654215
4,5,89367,205,0,53.86,0.21,11.11,1.463,0.21446224256292623,6.149405862378643e-05,0.04400000000000004,0.0013975922414496903,0.0716774193548387,0.014662756598240683,0.22727272727272727,0.04851555766887466
4,5,89389,205,0,53.97,0.22,11.21,1.485,0.2155377574370681,5.845721014143379e-05,0.04399999999999982,0.0013285729577598643,0.0723225806451613,0.014662756598240756,0.22727272727272843,0.048515557668876164
4,5,89411,205,0,53.97,0.22,11.21,1.507,0.21659692710035677,5.554201789305324e-05,0.04399999999999982,0.001262318588478488,0.0723225806451613,0.0,0.0,0.04702962940949209
4,5,89433,205,0,54.08,0.22,11.21,1.529,0.21760706113108574,5.283653984581704e-05,0.04400000000000004,0.0012008304510412954,0.0723225806451613,0.0,0.0,0.04405777289072499
4,5,89455,205,0,54.19,0.22,11.21,1.551,0.21853546910754867,5.041800331993151e-05,0.04400000000000004,0.0011458637118166243,0.0723225806451613,0.014662756598240368,0.0,0.039599988112574064
4,5,89477,205,0,54.19,0.22,11.31,1.573,0.219349460608039,4.8346291554418386e-05,0.04400000000000004,0.0010987793535095077,0.07296774193548387,0.014662756598240368,0.0,0.03365627507503781
4,5,89499,205,0,54.3,0.22,11.31,1.595,0.22001634521085034,4.665876758514464e-05,0.04400000000000004,0.0010604265360260137,0.07296774193548387,0.0,0.0,0.026226633778121275
4,5,89521,205,0,54.3,0.22,11.31,1.617,0.22050343249427634,4.5366631458803045e-05,0.04600000000000004,0.0009862311186696305,0.07296774193548387,0.0,0.0,0.004406100316955499
4,5,89545,205,0,54.3,0.22,11.31,1.641,0.2202190258254303,4.445309838200373e-05,0.04600000000000004,0.000966371703956602,0.07296774193548387,0.014025245441795134,0.0,0.001208124280454411
4,5,89567,205,0,54.3,0.22,11.41,1.663,0.22055900621117724,4.387384058444788e-05,0.04400000000000004,0.0009971327405556326,0.07361290322580645,0.0,0.0,0.008395494665517561
4,5,89589,205,0,54.52,0.22,11.31,1.685,0.22058842759071307,4.356000832503781e-05,0.04400000000000004,0.000990000189205404,0.07296774193548387,0.0,0.0,-0.006463787928318026
4,5,89611,205,0,54.52,0.22,11.41,1.707,0.22027459954233125,4.342378176379036e-05,0.04400000000000004,0.0009869041309952347,0.07361290322580645,0.014662756598240368,0.0,-0.00230318880204492
4,5,89633,205,0,54.52,0.22,11.41,1.729,0.2204870872834231,4.336598808934511e-05,0.04399999999999982,0.0009855906383942111,0.07361290322580645,0.0,0.0,0.008915569556301902
4,5,89655,205,0,54.52,0.22,11.41,1.751,0.22066688460280853,4.328491083469288e-05,0.04399999999999982,0.0009837479735157514,0.07361290322580645,0.014662756598240442,0.0,0.007429641296917831
4,5,89677,205,0,54.63,0.22,11.51,1.773,0.22081399150048747,4.308513199815245e-05,0.04400000000000004,0.000979207545412555,0.07425806451612903,0.014662756598240368,0.0,0.00594371303753373
4,5,89699,205,0,54.63,0.22,11.51,1.795,0.22092840797646002,4.2685287409568674e-05,0.04400000000000004,0.0009701201683992872,0.07425806451612903,0.0,0.0,-0.00824690183957865
4,5,89721,205,0,54.74,0.22,11.51,1.817,0.220451127819546,4.2024069426268794e-05,0.04400000000000004,0.0009550924869606536,0.07425806451612903,0.0,0.0,-0.015379357484619884
4,5,89743,205,0,54.74,0.22,11.51,1.839,0.22025171624713674,4.106446773940853e-05,0.04600000000000004,0.0008927058204219238,0.07425806451612903,0.0,0.21739130434782608,-0.0033401083047880672
4,5,89767,205,0,54.74,0.23,11.51,1.863,0.22029748283752576,3.979661959423453e-05,0.04600000000000004,0.0008651439042224891,0.07425806451612903,0.014025245441795134,0.0,0.006609150475432041
4,5,89789,205,0,54.85,0.22,11.61,1.885,0.22055573716900662,3.823941979684875e-05,0.04400000000000004,0.0008690777226556527,0.0749032258064516,0.014662756598240368,-0.22727272727272727,0.015825135962435354
4,5,89811,205,0,54.85,0.22,11.61,1.907,0.22099378881987292,3.6440514638401925e-05,0.04400000000000004,0.0008281935145091339,0.0749032258064516,0.0,0.0,0.023254777259353147
4,5,89833,205,0,54.85,0.22,11.61,1.929,0.22157894736841816,3.4474132248561774e-05,0.04499999999999993,0.0007660918277458184,0.0749032258064516,0.0,0.0,0.028549634956957365
4,5,89856,205,0,54.96,0.22,11.61,1.952,0.222278522392936,3.2436592062039084e-05,0.04400000000000004,0.0007371952741372513,0.0749032258064516,0.0,0.0,0.03365627507503907
4,5,89877,205,0,54.96,0.22,11.61,1.973,0.22305982347171988,3.0439784650360126e-05,0.04400000000000004,0.000691813287508184,0.0749032258064516,0.014662756598240683,0.0,0.036628131593805936
4,5,89900,205,0,55.07,0.22,11.71,1.996,0.22389016018306346,2.8602914985569328e-05,0.04399999999999982,0.0006500662496720329,0.0755483870967742,0.014662756598240756,0.0,0.03811405985319019
4,5,89921,205,0,55.07,0.22,11.71,2.017,0.22473684210526024,2.704255925207022e-05,0.04400000000000004,0.0006146036193652318,0.0755483870967742,0.0,0.22727272727272727,0.03811405985319
4,5,89944,205,0,55.07,0.23,11.71,2.04,0.22556717881660382,2.5861234106507426e-05,0.04600000000000026,0.0005622007414458104,0.0755483870967742,0.0,0.21739130434782503,0.03503560413320551
4,5,89967,205,0,55.07,0.23,11.71,2.063,0.2263484798953877,2.51354123083658e-05,0.04599999999999982,0.0005464220067036065,0.0755483870967742,0.0,0.0,0.03219295876742883
4,5,89990,205,0,55.18,0.23,11.71,2.086,0.22704805491990554,2.4904705239837456e-05,0.04400000000000004,0.0005660160281781235,0.0755483870967742,0.0,0.0,0.04970430027638216
4,5,90011,205,0,55.18,0.23,11.71,2.107,0.22853546910754852,2.5164141640109606e-05,0.04400000000000004,0.0005719123100024905,0.0755483870967742,0.0,0.0,0.05230467473030364
4,5,90034,205,0,55.18,0.23,11.71,2.13,0.2293494606080389,2.586099861367508e-05,0.043999999999999595,0.0005877499684926209,0.0755483870967742,0.0,0.0,0.03365627507503941
4,5,90055,205,0,55.18,0.23,11.71,2.151,0.23001634521085024,2.6896786566618758e-05,0.04400000000000004,0.0006112906037867895,0.0755483870967742,0.0,0.0,0.026226633778120016
4,5,90078,205,0,55.18,0.23,11.71,2.174,0.23050343249427618,2.813403875513032e-05,0.04400000000000004,0.0006394099717075066,0.0755483870967742,0.014662756598240368,0.0,0.017311064221819418
4,5,90099,205,0,55.18,0.23,11.81,2.195,0.2307780320366103,2.9406702861331625e-05,0.04400000000000004,0.0006683341559393546,0.07619354838709677,0.014662756598240368,0.0,0.006909566406134759
4,5,90122,205,0,55.29,0.23,11.81,2.218,0.2308074534161461,3.053246329157489e-05,0.04400000000000004,0.0006939196202630651,0.07619354838709677,0.0,0.0,-0.004977859668935224
4,5,90143,205,0,55.29,0.23,11.81,2.239,0.23055900621117714,3.132554423540057e-05,0.04599999999999982,0.0006809900920739282,0.07619354838709677,0.0,0.0,-0.017553335133675574
4,5,90168,205,0,55.29,0.23,11.81,2.264,0.22999999999999704,3.16093575990557e-05,0.04600000000000026,0.0006871599478055548,0.07619354838709677,0.0,0.0,-0.012152308938697799
4,5,90189,205,0,55.29,0.23,11.81,2.285,0.22999999999999704,3.122913166225416e-05,0.04400000000000004,0.0007097529923239575,0.07619354838709677,0.0,0.0,-0.012704686617729579
4,5,90212,205,0,55.29,0.23,11.81,2.308,0.22944099378881694,3.0064772293560082e-05,0.04400000000000004,0.0006832902793990922,0.07619354838709677,0.014662756598240683,0.0,-0.0056465273856584315
4,5,90233,205,0,55.4,0.23,11.91,2.329,0.22975155279502807,2.8043681305808478e-05,0.04400000000000004,0.0006373563933138285,0.07683870967741936,0.0,0.0,0.013373354334451524
4,5,90256,205,0,55.4,0.23,11.81,2.352,0.2300294213795328,2.5152618383238234e-05,0.04400000000000004,0.0005716504178008685,0.07619354838709677,0.0,0.0,0.011887426075069984
4,5,90277,205,0,55.4,0.23,11.91,2.373,0.23027459954233115,2.1447391184853614e-05,0.04400000000000004,0.0004874407087466726,0.07683870967741936,0.014662756598240683,0.0,0.01040149781568592
4,5,90300,205,0,55.4,0.23,11.91,2.396,0.230487087283423,1.7059206116702086e-05,0.043999999999999595,0.000387709229925051,0.07683870967741936,0.0,0.0,0.008915569556300686
4,5,90321,205,0,55.4,0.23,11.91,2.417,0.23066688460280838,1.219672928850457e-05,0.04400000000000004,0.00027719839292055816,0.07683870967741936,0.0,0.0,0.007429641296917794
4,5,90344,205,0,55.4,0.23,11.91,2.44,0.23081399150048737,7.1432337240455725e-06,0.04700000000000015,0.00015198369625628829,0.07683870967741936,0.0,0.0,-0.006329422075075768
4,5,90368,205,0,55.51,0.23,11.91,2.464,0.2303694017652798,2.2485829870753095e-06,0.04600000000000026,4.888223884946297e-05,0.07683870967741936,0.0,0.0,-0.013289367085009319
4,5,90390,205,0,55.51,0.23,11.91,2.486,0.23020268061457694,-2.083980048205092e-06,0.04400000000000004,-4.736318291375205e-05,0.07683870967741936,0.0,0.0,-0.0020060031501683596
4,5,90412,205,0,55.51,0.23,11.91,2.508,0.2302811376266724,-5.416312806762136e-06,0.043999999999999595,-0.0001230980183355042,0.07683870967741936,0.0,0.22727272727272893,0.021100181283248615
